time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
71.0,0.0,0.0,1585.02,2822.97,1202.28,1388.32,1487.55,2097.82,1515.75,1544.1,449.69,552.71,1563.87,1586.77,1056.92,1023.99,1579.78,1403.75
72.0,0.0,0.0,1585.68,2774.72,1194.72,1368.94,1479.18,2092.35,1501.96,1536.73,454.67,560.15,1560.82,1564.74,1058.51,1038.25,1571.71,1404.6
73.0,0.0,0.0,1583.49,2743.98,1195.13,1364.73,1468.89,2084.5,1498.94,1525.69,448.09,555.98,1582.4,1581.75,1062.5,1009.96,1578.03,1412.44
74.0,0.0,0.0,1566.92,2703.66,1196.76,1362.0,1459.27,2084.5,1506.7,1513.16,444.72,555.79,1579.34,1576.29,1043.61,1039.84,1571.49,1398.89
75.0,0.0,0.0,1561.26,2697.36,1191.05,1354.02,1469.53,2089.25,1487.12,1525.47,439.21,549.81,1546.48,1546.92,1048.97,1013.12,1568.23,1367.46
76.0,0.0,0.0,1568.01,2649.26,1188.61,1355.7,1474.03,2088.78,1491.42,1518.34,417.62,550.54,1551.04,1561.91,1027.35,1001.88,1565.39,1403.33
77.0,0.0,0.0,1563.87,2607.99,1189.01,1337.26,1470.82,2084.5,1491.2,1530.67,426.28,543.48,1564.52,1551.91,1035.08,1010.75,1558.21,1392.12
78.0,0.0,0.0,1551.26,2577.53,1174.16,1347.73,1453.28,2074.52,1482.18,1521.37,442.41,536.79,1532.4,1550.83,1049.37,1020.63,1541.28,1378.41
79.0,0.0,0.0,1552.35,2557.48,1180.06,1352.55,1475.96,2060.54,1482.61,1510.36,433.01,535.52,1551.26,1535.43,1033.1,1010.56,1562.13,1375.25
80.0,0.0,0.0,1546.48,2519.61,1166.24,1343.96,1463.33,2069.54,1469.96,1500.66,427.52,551.62,1527.64,1529.58,1025.37,1012.73,1541.93,1362.0
81.0,0.0,0.0,1558.43,2490.09,1164.41,1341.23,1459.91,2070.73,1460.33,1500.45,434.96,536.61,1529.58,1520.5,1029.13,1000.9,1566.7,1368.94
82.0,0.0,0.0,1546.48,2477.91,1150.03,1331.4,1456.06,2072.86,1460.12,1511.22,431.59,519.83,1535.65,1528.07,1038.45,996.17,1546.7,1379.67
83.0,0.0,0.0,1532.18,2457.93,1160.36,1332.03,1480.68,2052.49,1458.62,1498.08,419.56,531.37,1532.4,1520.29,1030.12,992.43,1554.74,1368.94
84.0,0.0,0.0,1521.37,2431.46,1173.14,1336.42,1438.15,2073.1,1454.57,1500.66,417.44,533.72,1517.05,1513.81,1041.82,989.48,1532.4,1362.0
85.0,0.0,0.0,1528.72,2407.11,1159.34,1334.33,1446.46,2062.2,1456.7,1497.65,413.38,514.97,1525.91,1521.8,1038.25,1003.06,1539.76,1365.15
86.0,0.0,0.0,1511.01,2387.85,1157.93,1327.85,1449.44,2058.17,1451.79,1509.28,405.62,512.45,1512.3,1512.73,1023.59,999.12,1543.01,1358.64
87.0,0.0,0.0,1508.85,2383.85,1161.37,1320.55,1445.39,2060.06,1455.21,1481.75,404.57,532.27,1528.29,1511.65,1011.74,993.42,1535.0,1351.92
88.0,0.0,0.0,1515.54,2372.63,1150.03,1329.1,1439.64,2057.22,1440.28,1492.92,416.91,515.33,1500.23,1496.36,1028.94,988.11,1531.75,1365.99
89.0,0.0,0.0,1499.16,2335.86,1157.93,1326.39,1452.22,2045.41,1451.36,1479.18,399.28,506.69,1522.66,1499.59,1005.82,992.63,1531.53,1356.54
90.0,0.0,0.0,1494.42,2305.97,1154.68,1324.3,1438.15,2039.03,1435.17,1480.04,403.68,505.26,1525.04,1507.77,1004.24,994.2,1528.72,1354.02
91.0,0.0,0.0,1491.2,2287.26,1150.03,1317.21,1436.44,2057.93,1459.91,1474.89,392.07,508.49,1506.48,1480.89,1021.02,1003.06,1514.89,1335.38
92.0,0.0,0.0,1497.22,2276.46,1160.56,1322.01,1442.19,2050.13,1436.02,1499.59,391.54,507.41,1496.36,1490.99,1024.38,977.11,1524.18,1355.28
93.0,0.0,0.0,1500.66,2259.31,1145.17,1305.96,1442.19,2060.06,1432.82,1464.18,398.23,515.69,1495.29,1481.97,1009.37,983.79,1521.37,1336.21
94.0,0.0,0.0,1490.99,2233.2,1148.41,1310.96,1467.82,2057.22,1425.6,1470.82,402.1,508.85,1486.69,1476.6,1033.1,981.43,1507.56,1349.19
95.0,0.0,0.0,1485.62,2219.33,1147.8,1306.38,1458.84,2056.51,1423.68,1468.04,399.63,504.9,1480.25,1471.46,1027.35,975.54,1506.26,1343.54
96.0,0.0,0.0,1485.62,2208.4,1136.49,1313.25,1436.23,2048.95,1424.96,1489.7,384.87,502.03,1487.33,1474.46,1017.27,973.0,1515.97,1345.42
97.0,0.0,0.0,1481.32,2206.46,1143.76,1298.27,1430.06,2051.31,1443.9,1461.19,387.5,499.33,1501.53,1462.05,996.17,983.98,1510.14,1334.96
98.0,0.0,0.0,1481.54,2199.67,1134.87,1301.39,1433.46,2056.75,1417.74,1457.98,401.57,499.69,1491.63,1462.69,1005.82,992.83,1522.88,1325.97
99.0,0.0,0.0,1469.75,2204.28,1142.75,1300.97,1430.48,2044.7,1422.2,1463.97,390.49,491.8,1481.54,1466.54,1012.92,970.45,1494.64,1324.3
100.0,0.0,0.0,1472.1,2184.43,1130.23,1292.87,1430.27,2064.8,1413.71,1450.08,392.77,499.87,1482.61,1452.86,1026.96,982.02,1499.59,1328.9
101.0,533.33,0.0,1463.11,2185.88,1149.22,1301.18,1456.7,2047.53,1419.86,1448.16,387.5,494.85,1478.96,1444.75,1007.99,991.84,1501.1,1320.13
102.0,533.33,0.0,1456.06,2167.06,1133.86,1301.6,1427.72,2065.75,1447.1,1440.91,383.82,495.03,1477.89,1440.28,1008.19,987.91,1497.44,1309.5
103.0,533.33,0.0,1458.2,2159.11,1127.61,1297.23,1434.1,2036.67,1403.54,1459.27,393.65,488.4,1472.53,1462.47,1020.63,964.77,1498.08,1328.27
104.0,533.33,0.0,1460.55,2160.56,1127.21,1303.88,1427.93,2038.56,1410.32,1477.46,371.55,481.6,1468.04,1453.5,1008.78,964.97,1501.53,1327.02
105.0,533.33,0.0,1446.24,2149.74,1134.47,1304.09,1427.72,2039.74,1419.44,1458.84,380.66,487.15,1468.68,1453.71,996.76,961.45,1518.34,1330.78
106.0,533.33,0.0,1437.72,2147.81,1134.67,1297.23,1437.29,2059.59,1412.23,1453.71,381.71,485.0,1465.04,1434.31,1014.7,986.14,1497.22,1313.88
107.0,533.33,0.0,1444.54,2133.18,1136.69,1306.17,1417.95,2060.54,1410.11,1452.64,379.61,477.67,1462.26,1439.21,1010.95,975.54,1489.48,1308.67
108.0,533.33,0.0,1439.21,2146.85,1134.67,1298.69,1429.85,2060.06,1418.59,1467.61,367.0,467.67,1454.99,1448.59,994.99,962.03,1502.39,1313.46
109.0,533.33,0.0,1452.86,2143.49,1108.9,1286.44,1432.61,2048.95,1401.64,1450.94,394.53,459.3,1452.22,1439.0,1005.62,974.37,1502.39,1317.21
110.0,533.33,0.0,1444.11,2139.17,1131.44,1289.14,1434.53,2078.08,1421.99,1460.33,373.47,469.81,1454.78,1416.25,1001.49,979.86,1491.42,1299.52
111.0,533.33,0.0,1440.28,2126.95,1121.77,1270.29,1423.26,2052.26,1417.74,1427.93,367.7,467.32,1451.36,1433.04,1005.62,976.13,1508.2,1323.68
112.0,533.33,0.0,1435.59,2116.91,1139.52,1309.5,1470.6,2081.17,1441.55,1489.91,375.57,456.8,1459.48,1446.24,1035.28,998.93,1577.16,1403.12
113.0,533.33,0.0,1446.03,2137.73,1217.0,1377.15,1568.23,2236.36,1608.88,1656.23,370.67,464.11,1560.82,1571.71,1108.1,1066.48,1841.34,1693.72
114.0,533.33,0.0,1454.78,2162.48,1428.36,1599.46,1806.53,2510.69,1968.91,2104.97,367.7,472.67,1753.23,1805.62,1205.75,1145.98,2247.09,2133.9
115.0,533.33,0.0,1483.47,2219.81,1711.56,1933.57,2015.72,2745.57,2517.06,2683.21,372.07,467.85,2037.38,2122.89,1263.89,1214.75,2688.19,2590.94
116.0,533.33,0.0,1528.07,2315.59,2056.28,2307.94,2186.61,2949.19,3078.74,3244.8,372.42,472.13,2303.75,2446.82,1318.67,1256.46,3090.72,2997.95
117.0,533.33,0.0,1578.47,2416.89,2382.6,2652.39,2305.23,3053.18,3565.91,3681.0,386.62,483.93,2586.81,2752.97,1352.13,1307.42,3418.66,3337.68
118.0,533.33,0.0,1644.52,2554.92,2637.81,2943.73,2379.36,3141.4,3953.17,4006.93,398.05,477.67,2817.36,3003.45,1378.41,1302.43,3619.74,3610.08
119.0,533.33,0.0,1703.08,2653.95,2893.75,3195.31,2414.63,3206.09,4221.56,4219.92,395.41,501.31,3021.36,3188.23,1389.59,1330.78,3825.69,3776.09
120.0,533.33,0.0,1764.48,2786.95,3062.89,3373.09,2456.41,3235.39,4441.52,4395.5,398.23,487.68,3189.36,3334.49,1409.68,1328.69,3937.98,3918.4
121.0,533.33,0.0,1828.81,2924.67,3185.68,3534.53,2486.03,3252.23,4572.02,4489.2,417.8,506.87,3326.39,3481.96,1419.44,1350.45,4037.01,4015.56
122.0,533.33,0.0,1905.36,3064.0,3327.26,3642.72,2520.89,3281.17,4689.78,4568.56,415.5,514.25,3460.99,3594.42,1422.62,1347.94,4114.4,4124.46
123.0,533.33,0.0,1957.73,3163.93,3443.91,3783.51,2535.45,3300.14,4759.3,4629.27,418.33,531.91,3575.5,3673.69,1424.11,1369.57,4207.09,4182.5
124.0,533.33,0.0,2012.9,3328.71,3529.17,3891.65,2521.91,3321.77,4813.74,4696.46,430.53,540.04,3663.05,3779.18,1448.38,1363.05,4245.64,4243.65
